Code,Digit,Name_EN,Name_KO,Name_JA,Reg,Type,Typo,Pendulum,Staple,Arch,Usage,Possible
4007,89631139,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631140,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631141,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631142,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631143,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631144,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631145,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631146,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4007,89631147,Blue-Eyes White Dragon,푸른 눈의 백룡,青眼の白龍,,메인,일반,FALSE,전용,백룡,10,TRUE
4008,15025844,Mystical Elf,홀리 엘프,ホーリー・エルフ,,메인,일반,FALSE,,,0,FALSE
4009,76184692,Hitotsu-Me Giant,외눈 거인,サイクロプス,,메인,일반,FALSE,,,0,FALSE
4010,88819587,Baby Dragon,베이비 드래곤,ベビードラゴン,,메인,일반,FALSE,,,0,FALSE
4011,15303296,Ryu-Kishin,가고일,ガーゴイル,,메인,일반,FALSE,,,0,FALSE
4012,41392891,Feral Imp,그렘린,グレムリン,,메인,일반,FALSE,,,0,FALSE
4013,87796900,"Winged Dragon, Guardian of the Fortress #1",요새를 지키는 익룡,砦を守る翼竜,,메인,일반,FALSE,,,0,FALSE
4014,14181608,Mushroom Man,,きのこマン,,메인,일반,FALSE,,,0,FALSE
4015,40575313,Shadow Specter,,ヘルバウンド,,메인,일반,FALSE,,,0,FALSE
4016,87564352,Blackland Fire Dragon,암흑의 드래곤왕,暗黒の竜王,,메인,일반,FALSE,,,0,FALSE
4017,13069066,Sword Arm of Dragon,스워드 드래곤,剣竜,,메인,일반,FALSE,,,0,FALSE
4018,40453765,Swamp Battleguard,바바리안 2호,バーバリアン２号,,메인,효과,FALSE,전용,바바리안,0,FALSE
4019,72842870,Tyhone,타이혼,タイホーン,,메인,일반,FALSE,,,0,FALSE
4020,18246479,Battle Steer,황소마인,牛魔人,,메인,일반,FALSE,,,0,FALSE
